ID,Nome,Cidade,Estado,Unidade Federativa (UF)
1,Marcelo,Gomes da Praia,AM,Amazonas
2,Júlia,Ramos do Galho,PB,Paraíba
3,Guilherme,da Rocha,AC,Acre
4,Valentina,Rodrigues,PA,Pará
5,Francisco,Farias,AM,Amazonas
6,Vitor Gabriel,Freitas de Farias,SP,São Paulo
7,Mariana,Teixeira,MT,Mato Grosso
8,Maria Luiza,Cardoso,RR,Roraima
9,Ana Júlia,Dias,SC,Santa Catarina
10,Marcela,Santos,ES,Espírito Santo
11,Mariana,Lima do Amparo,PI,Piauí
12,Lorena,Pinto,CE,Ceará
13,Camila,Teixeira,PE,Pernambuco
14,Benjamin,da Paz Verde,AL,Alagoas
15,Igor,Duarte de Peixoto,RN,Rio Grande do Norte
16,Raquel,Rodrigues do Campo,AC,Acre
17,Camila,Gomes,SC,Santa Catarina
18,Bruna,Lima,PE,Pernambuco
19,Pedro Lucas,Gomes da Praia,PI,Piauí
20,Juliana,Ferreira dos Dourados,DF,Distrito Federal
21,Nicolas,da Costa,SP,São Paulo
22,Kevin,Carvalho de Monteiro,MS,Mato Grosso do Sul
23,Mariane,Barbosa,RJ,Rio de Janeiro
24,Marcelo,Cardoso,ES,Espírito Santo
25,Theo,da Paz Verde,PA,Pará
26,Gabrielly,Ramos Alegre,PA,Pará
27,Thiago,Cardoso,PR,Paraná
28,Luiz Henrique,da Mota da Prata,AC,Acre
29,Murilo,Farias dos Dourados,PA,Pará
30,João Guilherme,Campos da Mata,GO,Goiás
31,Vitor Gabriel,Oliveira das Flores,PA,Pará
32,Marcela,Cunha da Serra,MG,Minas Gerais
33,Breno,da Rocha de da Luz,AC,Acre
34,Mariane,Silva da Praia,PA,Pará
35,Pedro Lucas,Moraes do Oeste,DF,Distrito Federal
36,Letícia,Freitas,AM,Amazonas
37,Júlia,Duarte,MT,Mato Grosso
38,Sabrina,Campos,RN,Rio Grande do Norte
39,Agatha,Costa,MA,Maranhão
40,Vitor,Duarte Grande,MG,Minas Gerais
41,Leandro,da Paz,PE,Pernambuco
42,Emanuelly,da Rocha,PB,Paraíba
43,Renan,Carvalho dos Dourados,PB,Paraíba
44,Luigi,Ferreira,PI,Piauí
45,Heitor,Carvalho do Oeste,TO,Tocantins
46,Eduarda,da Paz de da Paz,PR,Paraná
47,Milena,Mendes,DF,Distrito Federal
48,Alana,Barbosa das Flores,AC,Acre
49,Natália,Cardoso,PB,Paraíba
50,Larissa,Barbosa dos Dourados,MG,Minas Gerais
51,Benício,Silveira do Oeste,CE,Ceará
52,Vitória,Oliveira,CE,Ceará
53,Nina,Costela,BA,Bahia
54,Pedro Henrique,Rodrigues,MS,Mato Grosso do Sul
55,Rodrigo,Nascimento de Goiás,ES,Espírito Santo
56,Daniela,Barbosa,PA,Pará
57,Marina,Correia Verde,SP,São Paulo
58,João Felipe,da Rosa da Serra,RS,Rio Grande do Sul
59,Davi,Nogueira,TO,Tocantins
60,Fernanda,Dias do Sul,ES,Espírito Santo
