id_vendedor,nome_vendedor,id_area_vendas,area_vendas
1,Joana,Região Norte
2,Leonardo,Região Leste
3,Cauã,Região Leste
4,Amanda,Região Leste
5,João Vitor,Região Leste
6,Daniela,Região Sul
7,Vitor Hugo,Região Oeste
8,Bruna,Região Leste
9,Luiz Miguel,Região Leste
10,Calebe,Região Sul
11,Erick,Região Oeste
12,Isabel,Região Leste
13,Mariane,Região Oeste
14,Maria Cecília,Região Leste
15,Miguel,Região Leste
16,Bruno,Região Oeste
17,Ana Luiza,Região Leste
18,Maria Julia,Região Sul
19,Larissa,Região Sul
20,Letícia,Região Sul
21,Valentina,Região Leste
22,Ana Julia,Região Norte
23,Murilo,Região Leste
24,Lavínia,Região Norte
25,Luiz Henrique,Região Oeste
26,Diego,Região Norte
27,Fernanda,Região Sul
28,Mariana,Região Sul
29,João Pedro,Região Oeste
30,Vitor Hugo,Região Norte
31,Luiza,Região Leste
32,Bianca,Região Sul
33,Antônio,Região Sul
34,Fernanda,Região Oeste
35,Maria Sophia,Região Leste
36,Bárbara,Região Leste
37,Pietra,Região Leste
38,Laura,Região Sul
39,Diogo,Região Oeste
40,Cauê,Região Leste
41,João Vitor,Região Norte
42,Erick,Região Leste
43,Letícia,Região Sul
44,Luiza,Região Leste
45,Julia,Região Oeste
46,Nathan,Região Sul
47,Benício,Região Oeste
48,Paulo,Região Sul
49,Luiz Felipe,Região Norte
50,Ana Beatriz,Região Leste
51,Mirella,Região Sul
52,Lucca,Região Oeste
53,Mariana,Região Leste
54,Sophia,Região Norte
55,Luiz Otávio,Região Oeste
56,Gabriel,Região Norte
57,Murilo,Região Oeste
58,Joana,Região Sul
59,Pedro Miguel,Região Norte
60,Francisco,Região Sul
61,João Gabriel,Região Norte
62,Otávio,Região Oeste
63,Ana Lívia,Região Leste
64,Vitor,Região Sul
65,Kaique,Região Norte
66,Vitor Gabriel,Região Oeste
67,Daniel,Região Oeste
68,Eduarda,Região Leste
69,Alana,Região Sul
70,Igor,Região Norte
71,Maitê,Região Sul
72,Brenda,Região Oeste
73,Maria Luiza,Região Sul
74,Juliana,Região Leste
75,Alana,Região Oeste
76,Breno,Região Sul
77,Sophie,Região Norte
78,Amanda,Região Leste
79,Lorenzo,Região Leste
80,Cecília,Região Oeste
81,Ryan,Região Sul
82,Emanuel,Região Sul
83,Thomas,Região Leste
84,Maria,Região Leste
85,Luiz Miguel,Região Sul
86,Raul,Região Leste
87,Emanuella,Região Leste
88,Cauê,Região Sul
89,Thiago,Região Oeste
90,Thomas,Região Sul
91,Felipe,Região Sul
92,Sofia,Região Sul
93,Gustavo Henrique,Região Oeste
94,Sophia,Região Norte
95,Nathan,Região Leste
96,Erick,Região Oeste
97,Thales,Região Norte
98,Alexandre,Região Oeste
99,Maria,Região Norte
100,Ian,Região Norte
101,Vinicius,Região Sul
102,João Pedro,Região Leste
103,Theo,Região Leste
104,Luiz Felipe,Região Sul
105,Joana,Região Norte
106,Ana Clara,Região Norte
107,Mariane,Região Norte
108,Thomas,Região Leste
109,Lara,Região Oeste
110,Luiz Gustavo,Região Oeste
111,Yago,Região Oeste
112,Francisco,Região Oeste
113,Vitor Hugo,Região Oeste
114,Natália,Região Sul
115,Ana Clara,Região Leste
116,Giovanna,Região Oeste
117,Ana Julia,Região Norte
118,Kamilly,Região Leste
119,Agatha,Região Oeste
120,João Gabriel,Região Norte
121,Gustavo,Região Leste
122,Luiz Miguel,Região Leste
123,Francisco,Região Leste
124,Isis,Região Leste
125,Alexandre,Região Oeste
126,Joana,Região Oeste
127,Marina,Região Norte
128,Gabriel,Região Sul
129,Gabrielly,Região Oeste
130,Ian,Região Sul
131,Maria Eduarda,Região Sul
132,Otávio,Região Norte
133,Daniel,Região Leste
134,Maria,Região Leste
135,Bianca,Região Sul
136,Nicole,Região Sul
137,Rafaela,Região Oeste
138,Luiza,Região Leste
139,Enzo Gabriel,Região Norte
140,Maria Clara,Região Norte
141,Ana Vitória,Região Norte
142,Maitê,Região Oeste
143,Bárbara,Região Norte
144,Thiago,Região Oeste
145,Maria Fernanda,Região Leste
146,Pietro,Região Leste
147,Esther,Região Norte
148,Sabrina,Região Leste
149,Gustavo,Região Sul
150,Bianca,Região Leste
151,Sarah,Região Sul
152,Rodrigo,Região Norte
153,Yasmin,Região Sul
154,Leandro,Região Leste
155,Raul,Região Norte
156,Rebeca,Região Sul
157,Luiz Felipe,Região Sul
158,Pedro Miguel,Região Sul
159,Alana,Região Leste
160,Evelyn,Região Sul
161,Juan,Região Sul
162,Isabelly,Região Norte
163,Gustavo Henrique,Região Oeste
164,Maria Sophia,Região Sul
165,Bianca,Região Oeste
166,Beatriz,Região Norte
167,Mariane,Região Oeste
168,Alana,Região Leste
169,Davi Lucca,Região Oeste
170,Emanuella,Região Leste
171,Nicole,Região Norte
172,João Felipe,Região Norte
173,Ana Laura,Região Leste
174,Maria Fernanda,Região Leste
175,Vicente,Região Oeste
176,Mirella,Região Norte
177,Augusto,Região Oeste
178,Luiz Otávio,Região Oeste
179,Luiz Otávio,Região Norte
180,Maria Julia,Região Leste
181,Juan,Região Norte
182,Cauã,Região Sul
183,Pietra,Região Leste
184,Emanuelly,Região Norte
185,Augusto,Região Oeste
186,Alice,Região Oeste
187,Sarah,Região Norte
188,Samuel,Região Norte
189,Bárbara,Região Norte
190,Larissa,Região Oeste
191,Helena,Região Oeste
192,Gustavo Henrique,Região Sul
193,Isabella,Região Norte
194,Esther,Região Oeste
195,Caroline,Região Leste
196,Isadora,Região Leste
197,Caio,Região Leste
198,Pedro Miguel,Região Oeste
199,Ana Luiza,Região Sul
200,Raquel,Região Norte
201,Rodrigo,Região Oeste
202,Ana Luiza,Região Leste
203,Diego,Região Sul
204,Pietra,Região Oeste
205,Maitê,Região Oeste
206,Breno,Região Leste
207,Emanuella,Região Norte
208,Amanda,Região Norte
209,Arthur,Região Norte
210,Danilo,Região Oeste
211,João Pedro,Região Leste
212,Ana,Região Leste
213,Ryan,Região Sul
